date,zip,rate,city
20200417,84040,47.37,Layton
20200417,84041,47.37,Layton-2
20200417,84405,47.37,Layton-Sout Weber
20200417,34.67,34.67,Hooper
20200417,34.67,34.67,Hooper-Clearfield
20200417,84075,64.62,Syracuse
20200417,84037,38.38,Kaysville
20200417,84025,53.47,Farmington
20200417,84087,75.11,West Bountiful
20200417,84054,109.41,N Salt Lake
20200417,84025,114.94,Bountiful
20200417,84087,75.11,Woods Cross
20200417,84014,96.9,Centerville
20200417,84093,76.6,
20200417,84092,60.9,
20200417,84006,0,
20200417,84009,77.2,
20200417,84044,153,
20200417,84020,88.6,
20200417,84047,83.5,
20200417,84065,107.4,
20200417,84070,88.1,
20200417,84081,73.3,
20200417,84084,62.5,
20200417,84088,98.8,
20200417,84094,37.9,
20200417,84105,155.7,
20200417,84104,242.2,
20200417,84103,105,
20200417,84102,210,
20200417,84101,357.1,
20200417,84096,56.2,
20200417,84095,37.6,
20200417,84106,172,
20200417,84107,164.8,
20200417,84108,66.9,
20200417,84109,167.7,
20200417,84111,189.6,
20200417,84112,50.3,
20200417,84115,148.4,
20200417,84116,202.6,
20200417,84117,107,
20200417,84118,126.7,
20200417,84119,330.2,
20200417,84120,165.1,
20200417,84121,66.3,
20200417,84124,71.7,
20200417,84128,152.7,
20200417,84129,93.6,
20200417,84123,100.4,
