,date,zip,rate per 100K,city
0,2020-04-16,84056,18.19,Hill
1,2020-04-16,84310,18.19,Weber
2,2020-04-16,84317,18.19,Weber
3,2020-04-16,84067,18.19,Weber
4,2020-04-16,84403,18.19,Weber
5,2020-04-16,84401,18.19,Weber
6,2020-04-16,84414,18.19,Weber
7,2020-04-16,84404,18.19,Weber
8,2020-04-16,84315,34.67,Hooper
9,2020-04-16,84015,34.67,Hooper-Clearfield
10,2020-04-16,84075,61.22,Syracuse
11,2020-04-16,84040,46.19,Layton
12,2020-04-16,84041,46.19,Layton2
13,2020-04-16,84405,46.19,Layton-South Weber
14,2020-04-16,84037,38.38,Kaysville
15,2020-04-16,84025,49.36,Farmington
16,2020-04-16,84014,96.9,Centerville
17,2020-04-16,84010,75.11,Woods Cross
18,2020-04-16,84054,109.41,N Salt Lake
19,2020-04-16,84025,114.94,Bountiful
20,2020-04-16,84087,75.1,West Bountiful
