date,zip,rate,,city
20200417,84040,47.37,52.11,Layton
20200417,84041,47.37,52.11,Layton-2
20200417,84405,47.37,52.11,Layton-Sout Weber
20200417,84315,34.67,38.83,Hooper
20200417,84015,34.67,38.83,Hooper-Clearfield
20200417,84075,64.62,74.82,Syracuse
20200417,84037,38.38,53.73,Kaysville
20200417,84025,53.47,61.7,Farmington
20200417,84087,75.11,81.37,West Bountiful
20200417,84054,109.41,114.17,N Salt Lake
20200417,84025,114.94,133.75,Bountiful
20200417,84087,75.11,81.37,Woods Cross
20200417,84014,96.9,96.9,Centerville
20200417,84093,76.6,,
20200417,84092,60.9,,
20200417,84006,0,,
20200417,84009,77.2,,
20200417,84044,153,,
20200417,84020,88.6,,
20200417,84047,83.5,,
20200417,84065,107.4,,
20200417,84070,88.1,,
20200417,84081,73.3,,
20200417,84084,62.5,,
20200417,84088,98.8,,
20200417,84094,37.9,,
20200417,84105,155.7,,
20200417,84104,242.2,,
20200417,84103,105,,
20200417,84102,210,,
20200417,84101,357.1,,
20200417,84096,56.2,,
20200417,84095,37.6,,
20200417,84106,172,,
20200417,84107,164.8,,
20200417,84108,66.9,,
20200417,84109,167.7,,
20200417,84111,189.6,,
20200417,84112,50.3,,
20200417,84115,148.4,,
20200417,84116,202.6,,
20200417,84117,107,,
20200417,84118,126.7,,
20200417,84119,330.2,,
20200417,84120,165.1,,
20200417,84121,66.3,,
20200417,84124,71.7,,
20200417,84128,152.7,,
20200417,84129,93.6,,
20200417,84123,100.4,,
20200422,84006,0,,
20200422,84009,96.5,,
20200422,84020,105.5,,
20200422,84044,236.8,,
20200422,84094,62,,
20200422,84093,85.1,,
20200422,84095,47.5,,
20200422,84096,85.3,,
20200422,84101,462.1,,
20200422,84092,74.4,,
20200422,84088,104.2,,
20200422,84084,80.8,,
20200422,84081,88,,
20200422,84065,125.8,,
20200422,84047,116.3,,
20200422,84070,116.4,,
20200422,84102,237.6,,
20200422,84103,109.5,,
20200422,84104,322.9,,
20200422,84105,164.6,,
20200422,84106,241.4,,
20200422,84107,176.6,,
20200422,84108,80.2,,
20200422,84109,175.9,,
20200422,84111,230.8,,
20200422,84112,50.3,,
20200422,84115,215.2,,
20200422,84116,265.4,,
20200422,84117,107,,
20200422,84118,195.2,,
20200422,84119,419.2,,
20200422,84120,249.5,,
20200422,84121,93.2,,
20200422,84123,141.6,,
20200422,84124,89.7,,
20200422,84128,223.4,,
20200422,84129,127.4,,
20200422,84040,52.11,,
20200422,84041,52.11,,
20200422,84405,52.11,,
20200422,84315,38.83,,
20200422,84015,38.83,,
20200422,84075,74.82,,
20200422,84037,53.73,,
20200422,84025,61.7,,
20200422,84087,81.37,,
20200422,84054,114.17,,
20200422,84025,133.75,,
20200422,84087,81.37,,
20200422,84014,96.9,,
