,date,zip,rate,city
0,2020-04-17,84040,47.37,Layton
8,2020-04-17,84087,75.11,West Bountiful
9,2020-04-17,84054,109.41,N Salt Lake
10,2020-04-17,84025,114.94,Bountiful
11,2020-04-17,84087,75.11,Woods Cross
12,2020-04-17,84014,96.9,Centerville
13,2020-04-17,84093,76.6,
14,2020-04-17,84092,60.9,
15,2020-04-17,84006,0.0,
16,2020-04-17,84009,77.2,
17,2020-04-17,84044,153.0,
18,2020-04-17,84020,88.6,
19,2020-04-17,84047,83.5,
20,2020-04-17,84065,107.4,
21,2020-04-17,84070,88.1,
22,2020-04-17,84081,73.3,
23,2020-04-17,84084,62.5,
24,2020-04-17,84088,98.8,
25,2020-04-17,84094,37.9,
26,2020-04-17,84105,155.7,
27,2020-04-17,84104,242.2,
28,2020-04-17,84103,105.0,
29,2020-04-17,84102,210.0,
30,2020-04-17,84101,357.1,
31,2020-04-17,84096,56.2,
32,2020-04-17,84095,37.6,
33,2020-04-17,84106,172.0,
34,2020-04-17,84107,164.8,
35,2020-04-17,84108,66.9,
36,2020-04-17,84109,167.7,
37,2020-04-17,84111,189.6,
38,2020-04-17,84112,50.3,
39,2020-04-17,84115,148.4,
40,2020-04-17,84116,202.6,
41,2020-04-17,84117,107.0,
42,2020-04-17,84118,126.7,
43,2020-04-17,84119,330.2,
44,2020-04-17,84120,165.1,
45,2020-04-17,84121,66.3,
46,2020-04-17,84124,71.7,
47,2020-04-17,84128,152.7,
48,2020-04-17,84129,93.6,
49,2020-04-17,84123,100.4,
50,2020-04-22,84006,0.0,
51,2020-04-22,84009,96.5,
52,2020-04-22,84020,105.5,
53,2020-04-22,84044,236.8,
54,2020-04-22,84094,62.0,
55,2020-04-22,84093,85.1,
56,2020-04-22,84095,47.5,
57,2020-04-22,84096,85.3,
58,2020-04-22,84101,462.1,
59,2020-04-22,84092,74.4,
60,2020-04-22,84088,104.2,
61,2020-04-22,84084,80.8,
62,2020-04-22,84081,88.0,
63,2020-04-22,84065,125.8,
64,2020-04-22,84047,116.3,
65,2020-04-22,84070,116.4,
66,2020-04-22,84102,237.6,
67,2020-04-22,84103,109.5,
68,2020-04-22,84104,322.9,
69,2020-04-22,84105,164.6,
70,2020-04-22,84106,241.4,
71,2020-04-22,84107,176.6,
72,2020-04-22,84108,80.2,
73,2020-04-22,84109,175.9,
74,2020-04-22,84111,230.8,
75,2020-04-22,84112,50.3,
76,2020-04-22,84115,215.2,
77,2020-04-22,84116,265.4,
78,2020-04-22,84117,107.0,
79,2020-04-22,84118,195.2,
80,2020-04-22,84119,419.2,
81,2020-04-22,84120,249.5,
82,2020-04-22,84121,93.2,
83,2020-04-22,84123,141.6,
84,2020-04-22,84124,89.7,
85,2020-04-22,84128,223.4,
86,2020-04-22,84129,127.4,
87,2020-04-22,84040,52.11,
88,2020-04-22,84041,52.11,
89,2020-04-22,84405,52.11,
90,2020-04-22,84315,38.83,
91,2020-04-22,84015,38.83,
92,2020-04-22,84075,74.82,
93,2020-04-22,84037,53.73,
94,2020-04-22,84025,61.7,
95,2020-04-22,84087,81.37,
96,2020-04-22,84054,114.17,
97,2020-04-22,84025,133.75,
98,2020-04-22,84087,81.37,
99,2020-04-22,84014,96.9,
0,2020-04-16,84056,18.19,Hill
8,2020-04-16,84315,34.67,Hooper
9,2020-04-16,84015,34.67,Hooper-Clearfield
10,2020-04-16,84075,61.22,Syracuse
11,2020-04-16,84040,46.19,Layton
12,2020-04-16,84041,46.19,Layton2
13,2020-04-16,84405,46.19,Layton-South Weber
14,2020-04-16,84037,38.38,Kaysville
15,2020-04-16,84025,49.36,Farmington
16,2020-04-16,84014,96.9,Centerville
17,2020-04-16,84010,75.11,Woods Cross
18,2020-04-16,84054,109.41,N Salt Lake
19,2020-04-16,84025,114.94,Bountiful
20,2020-04-16,84087,75.1,West Bountiful
0,2020-04-16,84006,0.0,
8,2020-04-16,84084,59.9,
9,2020-04-16,84088,90.8,
10,2020-04-16,84092,57.5,
11,2020-04-16,84093,76.6,
12,2020-04-16,84094,31.0,
13,2020-04-16,84095,35.6,
14,2020-04-16,84096,52.0,
15,2020-04-16,84101,357.1,
16,2020-04-16,84102,210.0,
17,2020-04-16,84103,105.0,
18,2020-04-16,84104,222.9,
19,2020-04-16,84105,160.2,
20,2020-04-16,84106,160.9,
21,2020-04-16,84107,161.9,
22,2020-04-16,84108,62.4,
23,2020-04-16,84109,159.5,
24,2020-04-16,84111,173.1,
25,2020-04-16,84112,50.3,
26,2020-04-16,84115,141.0,
27,2020-04-16,84116,196.9,
28,2020-04-16,84117,107.0,
29,2020-04-16,84118,116.6,
30,2020-04-16,84119,256.0,
31,2020-04-16,84120,151.6,
32,2020-04-16,84121,66.3,
33,2020-04-16,84123,95.3,
34,2020-04-16,84124,71.7,
35,2020-04-16,84128,148.9,
36,2020-04-16,84129,85.8,
0,2020-04-30,84056,43.4,Hill
8,2020-04-30,84315,42.99,Hooper
9,2020-04-30,84015,42.99,Hooper-Clearfield
10,2020-04-30,84075,88.42,Syracuse
11,2020-04-30,84040,61.59,Layton
12,2020-04-30,84041,61.59,Layton2
13,2020-04-30,84405,61.59,Layton-South Weber
14,2020-04-30,84037,56.29,Kaysville
15,2020-04-30,84025,69.92,Farmington
16,2020-04-30,84014,114.0,Centerville
17,2020-04-30,84010,75.11,Woods Cross
18,2020-04-30,84054,1147.47,N Salt Lake
19,2020-04-30,84025,140.02,Bountiful
20,2020-04-30,84087,100.14,West Bountiful
0,2020-04-30,84006,0.0,
8,2020-04-30,84084,99.0,
9,2020-04-30,84088,136.2,
10,2020-04-30,84092,84.6,
11,2020-04-30,84093,93.6,
12,2020-04-30,84094,79.3,
13,2020-04-30,84095,53.4,
14,2020-04-30,84096,124.8,
15,2020-04-30,84101,525.1,
16,2020-04-30,84102,259.7,
17,2020-04-30,84103,123.2,
18,2020-04-30,84104,442.0,
19,2020-04-30,84105,178.0,
20,2020-04-30,84106,344.0,
21,2020-04-30,84107,232.5,
22,2020-04-30,84108,80.2,
23,2020-04-30,84109,184.1,
24,2020-04-30,84118,263.6,
25,2020-04-30,84111,288.4,
26,2020-04-30,84112,50.3,
27,2020-04-30,84115,326.4,
28,2020-04-30,84116,402.4,
29,2020-04-30,84117,134.7,
30,2020-04-30,84119,508.3,
31,2020-04-30,84120,355.1,
32,2020-04-30,84121,117.8,
33,2020-04-30,84123,188.0,
34,2020-04-30,84124,103.1,
35,2020-04-30,84128,327.7,
36,2020-04-30,84129,182.0,
0,2020-04-30,84017,856.566615256851,summit
1,2020-04-30,84024,856.566615256851,summit
2,2020-04-30,84033,856.566615256851,summit
3,2020-04-30,84036,856.566615256851,summit
4,2020-04-30,84055,856.566615256851,summit
5,2020-04-30,84060,856.566615256851,summit
6,2020-04-30,84061,856.566615256851,summit
7,2020-04-30,84068,856.566615256851,summit
8,2020-04-30,84018,74.2329264269218,Morgan
9,2020-04-30,84050,74.2329264269218,Morgan
10,2020-04-30,84067,57.2607825127876,Weber
11,2020-04-30,84201,57.2607825127876,Weber
12,2020-04-30,84244,57.2607825127876,Weber
13,2020-04-30,84310,57.2607825127876,Weber
14,2020-04-30,84315,57.2607825127876,Weber
15,2020-04-30,84317,57.2607825127876,Weber
16,2020-04-30,84401,57.2607825127876,Weber
17,2020-04-30,84402,57.2607825127876,Weber
18,2020-04-30,84403,57.2607825127876,Weber
19,2020-04-30,84404,57.2607825127876,Weber
20,2020-04-30,84405,57.2607825127876,Weber
21,2020-04-30,84407,57.2607825127876,Weber
22,2020-04-30,84408,57.2607825127876,Weber
23,2020-04-30,84409,57.2607825127876,Weber
24,2020-04-30,84412,57.2607825127876,Weber
25,2020-04-30,84414,57.2607825127876,Weber
,2020-05-05,84017,894.530786570174,summit
,2020-05-05,84024,894.530786570174,summit
,2020-05-05,84033,894.530786570174,summit
,2020-05-05,84036,894.530786570174,summit
,2020-05-05,84055,894.530786570174,summit
,2020-05-05,84060,894.530786570174,summit
,2020-05-05,84061,894.530786570174,summit
,2020-05-05,84068,894.530786570174,summit
,2020-05-05,84018,74.2329264269218,Morgan
,2020-05-05,84050,74.2329264269218,Morgan
,2020-05-05,84067,63.0252908194441,Weber
,2020-05-05,84201,63.0252908194441,Weber
,2020-05-05,84244,63.0252908194441,Weber
,2020-05-05,84310,63.0252908194441,Weber
,2020-05-05,84315,63.0252908194441,Weber
,2020-05-05,84317,63.0252908194441,Weber
,2020-05-05,84401,63.0252908194441,Weber
,2020-05-05,84402,63.0252908194441,Weber
,2020-05-05,84403,63.0252908194441,Weber
,2020-05-05,84404,63.0252908194441,Weber
,2020-05-05,84405,63.0252908194441,Weber
,2020-05-05,84407,63.0252908194441,Weber
,2020-05-05,84408,63.0252908194441,Weber
,2020-05-05,84409,63.0252908194441,Weber
,2020-05-05,84412,63.0252908194441,Weber
,2020-05-05,84414,63.0252908194441,Weber
,2020-05-07,84017,906.394590105588,summit
,2020-05-07,84024,906.394590105588,summit
,2020-05-07,84033,906.394590105588,summit
,2020-05-07,84036,906.394590105588,summit
,2020-05-07,84055,906.394590105588,summit
,2020-05-07,84060,906.394590105588,summit
,2020-05-07,84061,906.394590105588,summit
,2020-05-07,84068,906.394590105588,summit
,2020-05-07,84018,74.2329264269218,Morgan
,2020-05-07,84050,74.2329264269218,Morgan
,2020-05-07,84067,63.0252908194441,Weber
,2020-05-07,84201,63.0252908194441,Weber
,2020-05-07,84244,63.0252908194441,Weber
,2020-05-07,84310,63.0252908194441,Weber
,2020-05-07,84315,63.0252908194441,Weber
,2020-05-07,84317,63.0252908194441,Weber
,2020-05-07,84401,63.0252908194441,Weber
,2020-05-07,84402,63.0252908194441,Weber
,2020-05-07,84403,63.0252908194441,Weber
,2020-05-07,84404,63.0252908194441,Weber
,2020-05-07,84405,63.0252908194441,Weber
,2020-05-07,84407,63.0252908194441,Weber
,2020-05-07,84408,63.0252908194441,Weber
,2020-05-07,84409,63.0252908194441,Weber
,2020-05-07,84412,63.0252908194441,Weber
,2020-05-07,84414,63.0252908194441,Weber
,2020-05-07,84056,48.780487804878,Hill
,2020-05-07,84315,45.76,Hooper
,2020-05-07,84015,45.76,Hooper-Clearfield
,2020-05-07,84075,88.42,Syracuse
,2020-05-07,84040,71.06,Layton
,2020-05-07,84041,71.06,Layton2
,2020-05-07,84405,71.06,Layton-South Weber
,2020-05-07,84037,56.29,Kaysville
,2020-05-07,84025,74.03,Farmington
,2020-05-07,84014,131.1,Centerville
,2020-05-07,84010,112.66,Woods Cross
,2020-05-07,84054,152.43,N Salt Lake
,2020-05-07,84025,154.65,Bountiful
,2020-05-07,84087,112.66,West Bountiful
,2020-05-07,84006,0.00,
,2020-05-07,84009,143.38,
,2020-05-07,84020,126.58,
,2020-05-07,84044,393.39,
,2020-05-07,84047,184.90,
,2020-05-07,84065,175.54,
,2020-05-07,84070,204.50,
,2020-05-07,84081,175.91,
,2020-05-07,84084,125.06,
,2020-05-07,84088,162.95,
,2020-05-07,84093,97.89,
,2020-05-07,84092,98.08,
,2020-05-07,84094,103.39,
,2020-05-07,84095,75.15,
,2020-05-07,84096,168.54,
,2020-05-07,84101,777.15,
,2020-05-07,84102,265.21,
,2020-05-07,84103,150.59,
,2020-05-07,84104,580.41,
,2020-05-07,84105,213.55,
,2020-05-07,84106,405.03,
,2020-05-07,84107,279.59,
,2020-05-07,84108,89.15,
,2020-05-07,84129,244.35,
,2020-05-07,84128,413.33,
,2020-05-07,84124,107.61,
,2020-05-07,84123,239.45,
,2020-05-07,84121,130.05,
,2020-05-07,84120,456.79,
,2020-05-07,84119,586.16,
,2020-05-07,84118,329.51,
,2020-05-07,84117,154.52,
,2020-05-07,84116,539.37,
,2020-05-07,84115,396.93,
,2020-05-07,84112,100.55,
,2020-05-07,84111,428.55,
,2020-05-07,84109,331.32,
,2020-05-07,84112,100.55,
,2020-05-07,84115,396.93,
,2020-05-07,84117,154.52,
,2020-05-07,84116,539.37,
,2020-05-07,84118,329.51,
,2020-05-07,84119,586.16,
,2020-05-07,84120,456.79,
,2020-05-07,84121,130.05,
,2020-05-07,84123,239.45,
,2020-05-07,84124,107.61,
,2020-05-07,84128,413.33,
,2020-05-07,84129,244.35,
