,zip,rate
0,84017,906.3945901055881
1,84024,906.3945901055881
2,84033,906.3945901055881
3,84036,906.3945901055881
4,84055,906.3945901055881
5,84060,906.3945901055881
6,84061,906.3945901055881
7,84068,906.3945901055881
8,84018,74.2329264269218
9,84050,74.2329264269218
10,84067,63.0252908194441
11,84201,63.0252908194441
12,84244,63.0252908194441
13,84310,63.0252908194441
14,84315,63.0252908194441
15,84317,63.0252908194441
16,84401,63.0252908194441
17,84402,63.0252908194441
18,84403,63.0252908194441
19,84404,63.0252908194441
20,84405,63.0252908194441
21,84407,63.0252908194441
22,84408,63.0252908194441
23,84409,63.0252908194441
24,84412,63.0252908194441
25,84414,63.0252908194441
26,84056,48.780487804878
27,84315,45.76
28,84015,45.76
29,84075,88.42
30,84040,71.06
31,84041,71.06
32,84405,71.06
33,84037,56.29
34,84025,74.03
35,84014,131.1
36,84010,112.66
37,84054,152.43
38,84025,154.65
39,84087,112.66
40,84006,0.0
41,84009,143.38
42,84020,126.58
43,84044,393.39
44,84047,184.9
45,84065,175.54
46,84070,204.5
47,84081,175.91
48,84084,125.06
49,84088,162.95
50,84093,97.89
51,84092,98.08
52,84094,103.39
53,84095,75.15
54,84096,168.54
55,84101,777.15
56,84102,265.21
57,84103,150.59
58,84104,580.41
59,84105,213.55
60,84106,405.03
61,84107,279.59
62,84108,89.15
63,84129,244.35
64,84128,413.33
65,84124,107.61
66,84123,239.45
67,84121,130.05
68,84120,456.79
69,84119,586.16
70,84118,329.51
71,84117,154.52
72,84116,539.37
73,84115,396.93
74,84112,100.55
75,84111,428.55
76,84109,331.32
77,84112,100.55
78,84115,396.93
79,84117,154.52
80,84116,539.37
81,84118,329.51
82,84119,586.16
83,84120,456.79
84,84121,130.05
85,84123,239.45
86,84124,107.61
87,84128,413.33
88,84129,244.35
